"","IDsin","codeplot","ADJ","TILE","X_sin","Y_sin","X_wgs","Ywgs","ID","alti","grad","NDVImin","NDVImax"
"1213",13519393,"TEN_2080","YES","h18v04",600569,4907292,7.52513,44.13229,"h18v04_13519393",2080,"TEN",0.016,0.705
"1214",13509792,"TEN_2280","YES","h18v04",600337,4907756,7.52276,44.13646,"h18v04_13509792",2280,"TEN",0.005,0.663
"1215",13504989,"TEN_2480","YES","h18v04",599642,4907987,7.51431,44.13854,"h18v04_13504989",2480,"TEN",0.001,0.565
"1216",12890213,"UBA_1150","YES","h18v04",512540,4937639,6.45201,44.40521,"h18v04_12890213",1150,"UBA",0.394,0.794
"1217",12904614,"UBA_1425","YES","h18v04",512771,4936944,6.45424,44.39896,"h18v04_12904614",1425,"UBA",0.556,0.793
"1218",12914214,"UBA_1630","YES","h18v04",512771,4936481,6.45378,44.39479,"h18v04_12914214",1630,"UBA",0.47,0.796
"1219",12923804,"UBA_1850","YES","h18v04",510455,4936018,6.42416,44.39062,"h18v04_12923804",1850,"UBA",0.221,0.769
"1220",12909398,"UBA_2020","YES","h18v04",509065,4936713,6.40736,44.39687,"h18v04_12909398",2020,"UBA",0.02,0.721
"1221",12938196,"UBA_2170","YES","h18v04",508602,4935323,6.40016,44.38437,"h18v04_12938196",2170,"UBA",0,0.644
"1222",11243773,"VAL_1860","YES","h18v04",503273,5017098,6.41421,45.11979,"h18v04_11243773",1860,"VAL",0,0.753
"1223",11234171,"VAL_2050","YES","h18v04",502810,5017561,6.40878,45.12396,"h18v04_11234171",2050,"VAL",0,0.802
"1226",11214963,"VAL_2710","YES","h18v04",500957,5018488,6.38609,45.13229,"h18v04_11214963",2710,"VAL",0,0.455
"1227",10917498,"VAN_1400","YES","h18v04",532230,5032850,6.80018,45.26146,"h18v04_10917498",1400,"VAN",0.185,0.658
"1232",10903088,"VAN_2440","YES","h18v04",529914,5033545,6.77132,45.26771,"h18v04_10903088",2440,"VAN",0,0.63
"1235",11257978,"VAUL_0710","YES","h18v04",458100,5016403,5.83785,45.11354,"h18v04_11257978",710,"VAUL",0.494,0.818
